Organization,Gift Year,Gift Amount,Org-reported mission statement,Website,Org-reported geographies of service,Org-reported focus areas
"317 Main Community Music Center","2021","$1500000","317 Main encourages creative expression, personal growth, and community connection through music.","https://www.317main.org/","Androscoggin County, ME; Cumberland County, ME; York County, ME","Creative youth development; Performing arts; Early learning; Youth development; Aging"
"A Call to Men","2020","$2000000","Helping create a world where all men and boys are loving and respectful and all women, girls, and those at the margins of the margins are valued and safe.","https://www.acalltomen.org/","Europe & Central Asia; Sub-Saharan Africa; United States","Bridging divides; Gender identity; Race and ethnicity; Sexual and gender-based violence; Human rights"
"A New Way of Life Reentry Project","2022","Disclosure delayed for benefit of recipient","Empower communities with opportunity where justice impacted women heal, excel, and lead while disrupting systems of oppression and harm.","https://anewwayoflife.org/","United States; Kenya; Uganda","Civic and social engagement; Livelihoods and workforce development; Incarceration and justice system involvement; Race and ethnicity"
"A Place Called Home","2021","$2000000","A Place Called Home (APCH) provides a safe nurturing environment with proven programs in arts, education and wellness for the young people in South Central Los Angeles to help them improve their economic conditions and develop healthy, fulfilling and purposeful lives.","https://apch.org/","Los Angeles, CA","Creative youth development; Elementary, secondary education; Postsecondary, tertiary education; Vocational education; Youth development"
"Aajeevika Bureau","2022","Disclosure delayed for benefit of recipient","Aajeevika Bureau's vision is to achieve an equitable and dignified world of work for labouring communities. Our mission is to provide lasting solutions to economic and socio-legal problems of migrant, informal workers by blending innovative services with activism, policy, research, and advocacy.","https://www.aajeevika.org/","South Asia; India","Immigration or migration"
"ABFE","2021","$3000000","To promote effective and responsive philanthropy in Black communities.","https://www.abfe.org/","United States","Philanthropic sector strengthening; Race and ethnicity"
"ACCESS","2021","Disclosure delayed for benefit of recipient","To empower communities to improve their health and economic, social and cultural well-being.","https://www.accesscommunity.org/","Northeast, US; West, US; Michigan, US","Museums; Livelihoods and workforce development; Elementary, secondary education; Regrantor; Mental and behavioral health"
"Access Living","2022","$8000000","We ignite disability power and pride, provide critical services, and break down systemic barriers to create a stronger, more inclusive society.","https://www.accessliving.org/","Chicago, IL; Illinois, US","Cultural awareness; Access to housing and housing development; Youth development; Disability; Incarceration and justice system involvement"
"Access to Capital for Entrepreneurs","2020","$5000000","ACE, a community development financial institution, provides loans and business development resources to grow sustainable small businesses. With a focus on underserved people and places that have been systemically prevented from accessing economic opportunities, our vision is to create a world where there is universal access to capital for entrepreneurs.","https://aceloans.org","United States; Georgia, US","Bridging divides; Economic development; Financial inclusion; Gender identity; Race and ethnicity"
"Accion Opportunity Fund","2020","Disclosure delayed for benefit of recipient","Accion Opportunity Fund is a financial support system for small businesses that advances racial, gender, and economic justice for all.","https://aofund.org/","United States","Livelihoods and workforce development; Race and ethnicity; Gender identity; Financial inclusion"
"Achieve Atlanta","2022","$8000000","Achieve Atlanta's vision is that Atlanta be a city where race and income no longer predict postsecondary success and upward mobility. In service of this vision, our mission is to help Atlanta Public Schools students access, afford, and earn postsecondary credentials.","https://achieveatlanta.org/","Georgia, US; Atlanta, GA","Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity; Regrantor"
"Achievement Network","2022","$15000000","Achievement Network works alongside school and district leadership teams to strengthen their practice and culture of using learning standards and achievement data to get breakthrough results for students in underserved communities.","https://www.achievementnetwork.org/","North America; United States","Elementary, secondary education"
"Achieving the Dream","2021","$20000000","To lead and support a national network of community colleges to achieve sustainable institutional transformation through sharing knowledge, innovative solutions and effective practices and policies leading to improved outcomes for all students.","https://www.achievingthedream.org/","United States","Livelihoods and workforce development; Postsecondary, tertiary education; Regrantor"
"ACT Grants","2021","Disclosure delayed for benefit of recipient","ACT is a non-profit venture philanthropy platform that was born in 2020 in response to the COVID crisis and is built upon the premise that collective action has the power to achieve social impact at scale. We've since pivoted into a multi-case platform through which we make grants to impact education, climate change, health and gender in India.","https://actgrants.in/","South Asia; India","Elementary, secondary education; Vocational education; Climate change; Access to healthcare; Public health, public health infrastructure"
"Active Minds","2021","$4000000","Active Minds is the largest nonprofit in the U.S. working to end the silence and change the culture around mental health by mobilizing the next generation.","https://www.activeminds.org/","United States","Elementary, secondary education; Postsecondary, tertiary education; Youth development; Mental and behavioral health; Public health, public health infrastructure"
"Ada Developers Academy - Equality Can't Wait Challenge","2021","$5840000","Ada's mission is to prepare women and gender expansive adults to become software developers while advocating for inclusive and equitable work environments. We primarily serve Black, Latine, Indigenous Americans, Native Hawaiian & Pacific Islander, LGBTQIA+, and low-income people. Together, we are changing the face of tech.","https://adadevelopersacademy.org/","Washington, DC; Georgia, US; Washington, US","Livelihoods and workforce development; Vocational education; Gender identity; Race and ethnicity; Sexual orientation"
"Adeso - African Development Solutions","2021","Disclosure delayed for benefit of recipient","Our mission is to work at the roots of communities to create environments in which Africans can thrive, working alongside African communities to co-create a future that is shaped by their values, powered by their own resourcefulness and built on their capabilities.","https://adesoafrica.org/","Global; Sub-Saharan Africa; Somalia","Economic development; Natural resources conservation; Humanitarian assistance and relief; Philanthropic sector strengthening; Nonprofit sector strengthening"
"Advancement Project","2020","$5000000","Advancement Project is a next generation, multi-racial civil rights organization. Rooted in the great human rights struggles for equality and justice, we exist to fulfill America's promise of a caring, inclusive and just democracy.","https://advancementproject.org/","United States","Democracy; Elementary, secondary education; Immigration or migration; Incarceration and justice system involvement; Race and ethnicity"
